id,name,image_url,description
34,עלי כוסברה,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_49.jpeg,
31,פטרוזיליה,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_50.jpeg,
30,פילדלפיה,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_51.jpeg,
27,פלפל שחור גרוס,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_52.jpeg,
41,פלפל שחור טחון,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_53.jpeg,
36,פפריקה חריפה,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_54.jpeg,
25,פפריקה מתוקה,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_55.jpeg,
26,פפריקה מתוקה בשמן,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_56.jpeg,
37,צ'ילי מתוק,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_57.jpeg,
20,קארי אדום,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_58.jpeg,
22,קימל טחון (כרוויה),https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_59.jpeg,
24,ראס אל חנות,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_60.jpeg,
42,תבלין לדגים,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_61.jpeg,
35,תבלין לעוף בגריל,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_62.jpeg,
21,תבלין על האש,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_63.jpeg,
